TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
6604,0.76,0.76,22.75,15.69,1710.75,29,41,-5.47,5.47
6605,0.68,0.76,22.75,15.69,1710.75,29,41,-6.25,5.47
6606,0.68,0.76,22.75,15.69,1710.75,29,41,-6.25,5.47
6607,0.18,0.76,22.75,16.08,1687.5,29,40,-7.03,5.47
6608,0.18,0.76,22.75,16.08,1687.5,29,40,-7.03,5.47
6609,0.18,0.76,22.75,16.08,1687.5,29,40,-7.03,5.47
6610,0.08,0.76,22.75,16.08,1652.25,29,40,-6.25,5.47
6611,0.08,0.76,22.75,16.08,1652.25,29,40,-6.25,5.47
6612,0.08,0.76,22.75,16.08,1652.25,29,40,-6.25,5.47
6613,0.08,0.76,22.75,16.08,1621,29,40,-4.69,5.47
6614,0.08,0.76,22.75,16.08,1621,29,40,-4.69,5.47
6615,0.08,0.76,22.75,16.08,1621,29,40,-4.69,5.47
6616,0.08,0.76,22.75,16.08,1601.5,29,40,-3.91,5.47
6617,0.08,0.76,22.75,16.08,1601.5,29,39,-3.91,5.47
6618,0.08,0.76,22.75,16.08,1582,29,39,-3.12,5.47
6619,0.08,0.76,22.75,16.08,1582,29,39,-3.12,5.47
6620,0.08,0.76,22.75,16.08,1582,29,39,-3.12,5.47
6621,0.08,0.76,22.75,16.08,1562.5,29,39,-2.34,5.47
6622,0.08,0.76,22.75,16.08,1562.5,29,39,-2.34,5.47
6623,0.08,0.76,22.75,16.08,1562.5,29,39,-2.34,5.47
6624,0.08,0.76,22.75,16.08,1546.75,29,39,-1.56,5.47
6625,0.08,0.74,22.75,16.08,1546.75,30,38,-1.56,5.47
6626,0.08,0.74,22.75,16.08,1546.75,30,38,-1.56,5.47
6627,0.12,0.74,22.75,16.08,1531.25,30,37,0,5.47
6628,0.12,0.74,22.75,16.08,1531.25,30,37,0,5.47
6629,0.12,0.74,22.75,16.08,1531.25,30,37,0,5.47
6630,0.18,0.74,22.75,16.08,1527.25,30,37,0.78,5.47
6631,0.18,0.74,22.75,16.08,1527.25,30,37,0.78,5.47
6632,0.72,0.74,22.75,13.73,1519.5,30,37,1.56,5.47
6633,0.72,0.74,22.75,13.73,1519.5,30,37,1.56,5.47
6634,0.72,0.74,22.75,13.73,1519.5,30,37,1.56,5.47
6635,0.72,0.74,22.75,13.73,1511.5,30,37,0.78,5.47
6636,0.72,0.74,22.75,13.73,1511.5,27,39,0.78,5.47
6637,0.72,0.74,22.75,13.73,1511.5,27,39,0.78,5.47
6638,0.86,0.74,22.75,13.73,1460.75,24,39,0,5.47
6639,0.86,0.74,22.75,13.73,1460.75,24,39,0,5.47
6640,0.86,0.74,22.75,13.73,1460.75,24,39,0,5.47
6641,0.86,0.74,22.75,13.73,1445.25,23,37,0,5.47
6642,0.86,0.74,22.75,13.73,1445.25,23,37,0,5.47
6643,0.86,0.74,22.75,13.73,1476.5,23,37,0,5.47
6644,0.86,0.74,22.75,13.73,1476.5,23,37,-0.78,5.47
6645,0.86,0.74,22.75,13.73,1476.5,23,38,-0.78,5.47
6646,0.86,0.74,22.75,13.73,1488.25,23,38,-1.56,5.47
6647,0.86,0.74,22.75,13.73,1488.25,22,39,-1.56,5.47
6648,0.86,0.74,22.75,13.73,1488.25,22,39,-1.56,5.47
6649,0.86,0.74,22.75,13.73,1496,22,39,-2.34,5.47
6650,0.86,0.74,22.75,13.73,1496,21,39,-2.34,5.47
6651,0.86,0.74,22.75,13.73,1503.75,21,39,-3.12,5.47
6652,0.86,0.74,22.75,13.73,1503.75,21,39,-3.12,5.47
6653,0.82,0.76,22.75,13.73,1500,21,39,-3.12,5.47
6654,0.8,0.76,22.75,13.73,1503.75,21,39,-3.91,5.47
6655,0.8,0.76,22.75,13.73,1496,21,39,-4.69,5.47
6656,0.78,0.76,22.75,13.73,1496,21,39,-4.69,5.47
6657,0.78,0.76,22.75,13.73,1496,21,39,-4.69,5.47
6658,0.74,0.76,22.75,13.73,1496,21,39,-5.47,5.47
